ID;Temperature;Repeat;Date
M1;39.8;1;19/07/2019
M1;38.6;2;19/07/2019
M10;39.4;1;19/07/2019
M10;39.5;2;19/07/2019
M11;40.3;1;19/07/2019
M11;39.4;2;19/07/2019
M12;40.7;1;19/07/2019
M12;39.9;2;19/07/2019
M13;39.1;1;19/07/2019
M13;37.0;2;19/07/2019
M14;36.6;1;19/07/2019
M14;37.8;2;19/07/2019
M15;35.5;1;19/07/2019
M15;35.9;2;19/07/2019
M16;41.5;1;31/07/2020
M16;41.6;2;31/07/2020
M17;41.9;1;31/07/2020
M17;41.9;2;31/07/2020
M18;42.3;1;31/07/2020
M18;42.1;2;31/07/2020
M19;41.1;1;31/07/2020
M19;42.0;2;31/07/2020
M19;41.8;3;31/07/2020
M19;41.8;4;31/07/2020
M2;40.1;1;19/07/2019
M2;38.5;2;19/07/2019
M20;43.1;1;31/07/2020
M20;42.7;2;31/07/2020
M20;42.0;3;31/07/2020
M20;42.4;4;31/07/2020
M21;41.6;1;31/07/2020
M21;41.6;2;31/07/2020
M22;43.0;1;31/07/2020
M22;42.6;2;31/07/2020
M23;40.3;1;31/07/2020
M23;41.0;2;31/07/2020
M23;40.9;3;31/07/2020
M24;41.6;1;31/07/2020
M24;41.7;2;31/07/2020
M25;41.8;1;31/07/2020
M25;41.7;2;31/07/2020
M26;40.5;1;31/07/2020
M26;40.6;2;31/07/2020
M27;41.8;1;31/07/2020
M27;42.4;2;31/07/2020
M3;40.3;1;19/07/2019
M3;39.0;2;19/07/2019
M4;40.4;1;19/07/2019
M4;39.5;2;19/07/2019
M5;40.6;1;19/07/2019
M5;40.3;2;19/07/2019
M6;40.3;1;19/07/2019
M6;40.2;2;19/07/2019
M7;40.6;1;19/07/2019
M7;40.9;2;19/07/2019
M8;38.3;1;19/07/2019
M8;38.3;2;19/07/2019
M9;40.2;1;19/07/2019
M9;39.6;2;19/07/2019
